1000,1,8.29300005E-03,3.23399901E-03
1000,2,1.00880004E-02,4.11499664E-03
1000,3,1.04140006E-02,3.57399881E-03
1000,4,8.10199976E-03,4.79000434E-03
1000,5,8.53399932E-03,3.39000672E-03
1000,6,9.15100425E-03,3.13299894E-03
1000,7,8.70599598E-03,3.44999880E-03
1000,8,7.19600171E-03,2.46800482E-03
1000,9,8.37000459E-03,2.44500488E-03
1000,10,6.23800606E-03,2.55200267E-03
2000,1,3.43949944E-02,1.04690045E-02
2000,2,3.04509997E-02,1.43170059E-02
2000,3,3.36109996E-02,1.17559731E-02
2000,4,3.76890004E-02,1.02450252E-02
2000,5,3.61779928E-02,1.18199885E-02
2000,6,3.78549993E-02,1.25249922E-02
2000,7,3.78610194E-02,1.09909773E-02
2000,8,3.89589667E-02,1.15689635E-02
2000,9,4.18220162E-02,1.06480122E-02
2000,10,4.22269702E-02,1.15320086E-02
3000,1,8.35140347E-02,2.23049521E-02
3000,2,9.32139754E-02,2.28249431E-02
3000,3,9.26340222E-02,2.47770548E-02
3000,4,9.50250626E-02,2.28550434E-02
3000,5,9.32919979E-02,2.27450132E-02
3000,6,9.41669941E-02,2.61449814E-02
3000,7,9.53909159E-02,2.46449709E-02
3000,8,9.22009945E-02,2.53620148E-02
3000,9,9.67769623E-02,2.31349468E-02
3000,10,9.53350067E-02,2.32149363E-02
4000,1,0.156479120,4.09719944E-02
4000,2,0.166494131,4.08201218E-02
4000,3,0.168306112,4.11829948E-02
4000,4,0.168709993,4.49869633E-02
4000,5,0.163556099,4.04829979E-02
4000,6,0.158291817,4.04689312E-02
4000,7,0.163567781,4.11648750E-02
4000,8,0.167039156,4.08971310E-02
4000,9,0.166838884,4.24890518E-02
4000,10,0.164221764,4.05597687E-02
5000,1,0.271556854,6.33587837E-02
5000,2,0.284201145,6.33740425E-02
5000,3,0.279293537,6.37412071E-02
5000,4,0.279879093,7.02819824E-02
5000,5,0.284685135,6.37140274E-02
5000,6,0.284633636,6.56490326E-02
5000,7,0.279292107,6.34222031E-02
5000,8,0.278413773,6.39152527E-02
5000,9,0.283404827,6.35218620E-02
5000,10,0.282423019,6.30993843E-02
6000,1,0.374572754,9.29355621E-02
6000,2,0.376575470,9.11169052E-02
6000,3,0.382401466,9.35478210E-02
6000,4,0.379808426,9.12113190E-02
6000,5,0.386198044,9.31701660E-02
6000,6,0.380205154,9.14611816E-02
6000,7,0.384061813,9.35592651E-02
6000,8,0.378214836,9.15536880E-02
6000,9,0.381931305,9.17596817E-02
6000,10,0.383550644,9.20076370E-02
7000,1,0.565927505,0.127024651
7000,2,0.576044083,0.131063461
7000,3,0.571800232,0.125840187
7000,4,0.574629784,0.129774094
7000,5,0.572107315,0.124057770
7000,6,0.575149536,0.124647141
7000,7,0.572023392,0.126842499
7000,8,0.572994232,0.124891281
7000,9,0.571630478,0.125738144
7000,10,0.582183838,0.125497818
8000,1,0.853385925,0.164972305
8000,2,0.860826492,0.167827606
8000,3,0.864448547,0.161262512
8000,4,0.862922668,0.161582947
8000,5,0.861377716,0.173069000
